plotid,tag_no,target,reason,response
AS-DB1,235,gbh18,成長量が基準値より小さい、測定間違い？,2019年4月22日に再計測するも142.8cmと前年値より小さい．樹皮剥がれの影響？
AS-DB1,235,gbh18,成長量が基準値より小さい。測定ミス？,問題なし。樹皮剥がれ
AS-DB1,243,gbh18,成長量が基準値より小さい、測定間違い？,2019年4月22日に再計測するも201.6cmと前年値より小さい．幹折で計測部位の幹に洞有り．大枝のみ生きている衰弱木のため縮んでいる？
AS-DB1,243,gbh18,成長量が基準値より小さい。測定ミス？,問題なし。幹折れ
AS-DB1,766,gbh10,成長量が基準値より小さい。測定ミス？,問題なし。古樹皮はぎ(シカ)
AS-DB1,780,gbh14,成長量が基準値より小さい。測定ミス？,問題なし。前年に測定位置変更
AU-EC1,583,gbh16,誤って「測定間違い」となっている可能性あり,前後関係からおかしいと判断
AU-EC1,583,gbh16,誤って「nd: 測定間違い」となっている可能性あり,正しく測定間違い
AU-EC1,693,gbh16,誤って「測定間違い」となっている可能性あり,前後関係からおかしいと判断
AU-EC1,693,gbh15,成長量が基準値より大きい。測定ミス？,原因不明。測定間違いか？
AU-EC1,693,gbh17,成長量が基準値より小さい。測定ミス？,原因不明。測定間違いか？Gbh16の測定値の前にndを入力
AU-EC1,701,gbh15,成長量が基準値より小さい、測定間違い？,原因不明。測定間違いか？
AU-EC1,701,gbh15,成長量が基準値より小さい、測定間違い？,この個体の測定値は安定していないので例外処理
AU-EC1,701,gbh15,成長量が基準値より小さい。測定ミス？,原因不明。測定間違いか？　この個体の測定値は安定していないので例外処理
AU-EC1,762,gbh10,誤って「nd: 測定間違い」となっている可能性あり,正しく測定間違い
AU-EC1,762,gbh11,誤って「nd: 測定間違い」となっている可能性あり,正しく測定間違い
AU-EC1,1142,gbh12,成長量が基準値より小さい、測定間違い？,間違いではない。測定位置付近の材不朽、剥落によるgbh減少のため
AY-EB1,7203,gbh12=na で gbh13=26.7,新規加入個体だが、「当年のgbhは22cm以上＆前年はna」のため前年計測忘れの疑い,成長速度が速い樹種のため問題なしと考え，そのままにした
CC-DB1,0003_016,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_025,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_034,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_036,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_043,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_046,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_051,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_059,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_061,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0003_064,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_107,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_114,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_115,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,0004_118,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
