plotid,trap_id,trap_area,x,y,note
AI-BC1,1,0.5,10,90,NA
AI-BC1,2,0.5,30,90,NA
AI-BC1,3,0.5,50,90,NA
AI-BC1,4,0.5,70,90,NA
AI-BC1,5,0.5,90,90,NA
AI-BC1,6,0.5,10,70,NA
AI-BC1,7,0.5,30,70,NA
AI-BC1,8,0.5,50,70,NA
AI-BC1,9,0.5,70,70,NA
AI-BC1,10,0.5,90,70,NA
AI-BC1,11,0.5,10,50,NA
AI-BC1,12,0.5,30,50,NA
AI-BC1,13,0.5,50,50,NA
AI-BC1,14,0.5,70,50,NA
AI-BC1,15,0.5,90,50,NA
AI-BC1,16,0.5,10,30,NA
AI-BC1,17,0.5,30,30,NA
AI-BC1,18,0.5,50,30,NA
AI-BC1,19,0.5,70,30,NA
AI-BC1,20,0.5,90,30,NA
AI-BC1,21,0.5,10,10,NA
AI-BC1,22,0.5,30,10,NA
AI-BC1,23,0.5,50,10,NA
AI-BC1,24,0.5,70,10,NA
AI-BC1,25,0.5,90,10,NA
AM-EB1,1,0.5,10,10,NA
AM-EB1,2,0.5,30,10,NA
AM-EB1,3,0.5,50,10,NA
AM-EB1,4,0.5,70,10,NA
AM-EB1,5,0.5,90,10,NA
AM-EB1,6,0.5,10,30,NA
AM-EB1,7,0.5,30,30,NA
AM-EB1,8,0.5,50,30,NA
AM-EB1,9,0.5,70,30,NA
AM-EB1,10,0.5,90,30,NA
AM-EB1,11,0.5,10,50,NA
AM-EB1,12,0.5,30,50,NA
AM-EB1,13,0.5,50,50,NA
AM-EB1,14,0.5,70,50,NA
AM-EB1,15,0.5,90,50,NA
AM-EB1,16,0.5,10,70,NA
AM-EB1,17,0.5,30,70,NA
AM-EB1,18,0.5,50,70,NA
AM-EB1,19,0.5,70,70,NA
AM-EB1,20,0.5,90,70,NA
AM-EB1,21,0.5,10,90,NA
AM-EB1,22,0.5,30,90,NA
AM-EB1,23,0.5,50,90,NA
AM-EB1,24,0.5,70,90,NA
AM-EB1,25,0.5,90,90,NA
AO-BC1,1,0.5,10,10,NA
AO-BC1,2,0.5,30,10,NA
AO-BC1,3,0.5,50,10,NA
AO-BC1,4,0.5,70,10,NA
AO-BC1,5,0.5,90,10,NA
AO-BC1,6,0.5,10,30,NA
AO-BC1,7,0.5,30,30,NA
AO-BC1,8,0.5,50,30,NA
AO-BC1,9,0.5,70,30,NA
AO-BC1,10,0.5,90,30,NA
AO-BC1,11,0.5,10,50,NA
AO-BC1,12,0.5,30,50,NA
AO-BC1,13,0.5,50,50,NA
AO-BC1,14,0.5,70,50,NA
AO-BC1,15,0.5,90,50,NA
AO-BC1,16,0.5,10,70,NA
AO-BC1,17,0.5,30,70,NA
AO-BC1,18,0.5,50,70,NA
AO-BC1,19,0.5,70,70,NA
AO-BC1,20,0.5,90,70,NA
AO-BC1,21,0.5,10,90,NA
AO-BC1,22,0.5,30,90,NA
AO-BC1,23,0.5,50,90,NA
AO-BC1,24,0.5,70,90,NA
AO-BC1,25,0.5,90,90,NA
AS-DB1,1,0.5,10,10,NA
AS-DB1,2,0.5,10,30,NA
AS-DB1,3,0.5,10,50,NA
AS-DB1,4,0.5,10,70,NA
AS-DB1,5,0.5,10,90,NA
AS-DB1,6,0.5,30,90,NA
AS-DB1,7,0.5,30,70,NA
AS-DB1,8,0.5,30,50,NA
AS-DB1,9,0.5,30,30,NA
AS-DB1,10,0.5,30,10,NA
AS-DB1,11,0.5,50,10,NA
AS-DB1,12,0.5,50,30,NA
AS-DB1,13,0.5,50,50,NA
AS-DB1,14,0.5,50,70,NA
AS-DB1,15,0.5,50,90,NA
AS-DB1,16,0.5,70,90,NA
AS-DB1,17,0.5,70,70,NA
AS-DB1,18,0.5,70,50,NA
AS-DB1,19,0.5,70,30,NA
AS-DB1,20,0.5,70,10,NA
AS-DB1,21,0.5,90,10,NA
AS-DB1,22,0.5,90,30,NA
AS-DB1,23,0.5,90,50,NA
AS-DB1,24,0.5,90,70,NA
AS-DB1,25,0.5,90,90,NA
AS-DB2,1,0.5,10,10,NA
AS-DB2,2,0.5,10,30,NA
AS-DB2,3,0.5,10,50,NA
AS-DB2,4,0.5,10,70,NA
AS-DB2,5,0.5,10,90,NA
AS-DB2,6,0.5,30,90,NA
AS-DB2,7,0.5,30,70,NA
AS-DB2,8,0.5,30,50,NA
AS-DB2,9,0.5,30,30,NA
AS-DB2,10,0.5,30,10,NA
AS-DB2,11,0.5,50,10,NA
AS-DB2,12,0.5,50,30,NA
AS-DB2,13,0.5,50,50,NA
AS-DB2,14,0.5,50,70,NA
AS-DB2,15,0.5,50,90,NA
AS-DB2,16,0.5,70,90,NA
AS-DB2,17,0.5,70,70,NA
AS-DB2,18,0.5,70,50,NA
AS-DB2,19,0.5,70,30,NA
AS-DB2,20,0.5,70,10,NA
AS-DB2,21,0.5,90,10,NA
AS-DB2,22,0.5,90,30,NA
AS-DB2,23,0.5,90,50,NA
AS-DB2,24,0.5,90,70,NA
AS-DB2,25,0.5,90,90,NA
AU-EC1,1,0.5,10,10,NA
AU-EC1,2,0.5,30,10,NA
AU-EC1,3,0.5,50,10,NA
AU-EC1,4,0.5,70,10,NA
AU-EC1,5,0.5,90,10,NA
AU-EC1,6,0.5,10,30,NA
AU-EC1,7,0.5,30,30,NA
AU-EC1,8,0.5,50,30,NA
AU-EC1,9,0.5,70,30,NA
AU-EC1,10,0.5,90,30,NA
AU-EC1,11,0.5,10,50,NA
AU-EC1,12,0.5,30,50,NA
AU-EC1,13,0.5,50,50,NA
AU-EC1,14,0.5,70,50,NA
AU-EC1,15,0.5,90,50,NA
AU-EC1,16,0.5,10,70,NA
AU-EC1,17,0.5,30,70,NA
AU-EC1,18,0.5,50,70,NA
AU-EC1,19,0.5,70,70,NA
AU-EC1,20,0.5,90,70,NA
AU-EC1,21,0.5,10,90,NA
AU-EC1,22,0.5,30,90,NA
AU-EC1,23,0.5,50,90,NA
AU-EC1,24,0.5,70,90,NA
AU-EC1,25,0.5,90,90,NA
AY-EB1,1_1,0.58,20,-60,毎木調査区外
AY-EB1,1_2,0.58,40,-60,毎木調査区外
AY-EB1,1_3,0.58,60,-60,毎木調査区外
AY-EB1,1_4,0.58,80,-60,毎木調査区外
AY-EB1,1_5,0.58,100,-60,毎木調査区外
AY-EB1,1_6,0.58,120,-60,毎木調査区外
AY-EB1,1_7,0.58,140,-60,毎木調査区外
AY-EB1,2_1,0.58,20,-40,毎木調査区外
AY-EB1,2_2,0.58,40,-40,毎木調査区外
AY-EB1,2_3,0.58,60,-40,毎木調査区外
AY-EB1,2_4,0.58,80,-40,毎木調査区外
AY-EB1,2_5,0.58,100,-40,毎木調査区外
AY-EB1,2_6,0.58,120,-40,毎木調査区外
AY-EB1,2_7,0.58,140,-40,毎木調査区外
AY-EB1,3_1,0.58,20,-20,毎木調査区外
AY-EB1,3_2,0.58,40,-20,毎木調査区外
AY-EB1,3_3,0.58,60,-20,毎木調査区外
AY-EB1,3_4,0.58,80,-20,毎木調査区外
AY-EB1,3_5,0.58,100,-20,毎木調査区外
AY-EB1,3_6,0.58,120,-20,毎木調査区外
AY-EB1,3_7,0.58,140,-20,毎木調査区外
AY-EB1,4_1,0.58,20,0,NA
AY-EB1,4_2,0.58,40,0,NA
AY-EB1,4_3,0.58,60,0,NA
AY-EB1,4_4,0.58,80,0,NA
AY-EB1,4_5,0.58,100,0,NA
AY-EB1,4_6,0.58,120,0,毎木調査区外
AY-EB1,4_7,0.58,140,0,毎木調査区外
AY-EB1,5_1,0.58,20,20,NA
AY-EB1,5_2,0.58,40,20,NA
AY-EB1,5_3,0.58,60,20,NA
AY-EB1,5_4,0.58,80,20,NA
AY-EB1,5_5,0.58,100,20,NA
AY-EB1,5_6,0.58,120,20,毎木調査区外
AY-EB1,5_7,0.58,140,20,毎木調査区外
AY-EB1,6_1,0.58,20,40,NA
AY-EB1,6_2,0.58,40,40,NA
AY-EB1,6_3,0.58,60,40,NA
AY-EB1,6_4,0.58,80,40,NA
AY-EB1,6_5,0.58,100,40,NA
AY-EB1,6_6,0.58,120,40,毎木調査区外
AY-EB1,6_7,0.58,140,40,毎木調査区外
CC-DB1,1,0.5,10,90,NA
CC-DB1,2,0.5,30,90,NA
CC-DB1,3,0.5,50,90,NA
CC-DB1,4,0.5,70,90,NA
CC-DB1,5,0.5,90,90,NA
CC-DB1,6,0.5,10,70,NA
CC-DB1,7,0.5,30,70,NA
CC-DB1,8,0.5,50,70,NA
CC-DB1,9,0.5,70,70,NA
CC-DB1,10,0.5,90,70,NA
CC-DB1,11,0.5,10,50,NA
CC-DB1,12,0.5,30,50,NA
CC-DB1,13,0.5,50,50,NA
CC-DB1,14,0.5,70,50,NA
CC-DB1,15,0.5,90,50,NA
CC-DB1,16,0.5,10,30,NA
CC-DB1,17,0.5,30,30,NA
CC-DB1,18,0.5,50,30,NA
CC-DB1,19,0.5,70,30,NA
CC-DB1,20,0.5,90,30,NA
CC-DB1,21,0.5,10,10,NA
CC-DB1,22,0.5,30,10,NA
CC-DB1,23,0.5,50,10,NA
CC-DB1,24,0.5,70,10,NA
CC-DB1,25,0.5,90,10,NA
CC-DB2,1,0.5,25,5,2009年まで
CC-DB2,2,0.5,15,5,2009年まで
CC-DB2,3,0.5,5,5,2009年まで
CC-DB2,4,0.5,5,15,2009年まで
CC-DB2,5,0.5,15,15,2009年まで
CC-DB2,6,0.5,25,15,2009年まで
CC-DB2,7,0.5,25,25,2009年まで
CC-DB2,8,0.5,15,25,2009年まで
CC-DB2,9,0.5,5,25,2009年まで
CC-DB2,10,0.5,5,35,2009年まで
CC-DB2,11,0.5,15,35,2009年まで
CC-DB2,12,0.5,25,35,2009年まで
IC-BC1,1,0.5,57.4,4.2,20061130までtrap_area=0.58m2
IC-BC1,2,0.5,56.2,14.3,20061130までtrap_area=0.58m2
IC-BC1,3,0.5,58.6,26,20061130までtrap_area=0.58m2
IC-BC1,4,0.5,54.3,34.2,20061130までtrap_area=0.58m2
IC-BC1,5,0.5,51.6,41.1,20061130までtrap_area=0.58m2
IC-BC1,6,0.5,56.6,59.6,20061130までtrap_area=0.58m2
IC-BC1,7,0.5,63.5,65.8,20061130までtrap_area=0.58m2
IC-BC1,8,0.5,65.2,76.6,20061130までtrap_area=0.58m2
IC-BC1,9,0.5,65.8,89.1,20061130までtrap_area=0.58m2
IC-BC1,10,0.5,69.2,96,20061130までtrap_area=0.58m2
IC-BC1,11,0.5,55.4,74.6,20061130までtrap_area=0.58m2
IC-BC1,12,0.5,44.4,73.6,20061130までtrap_area=0.58m2
IC-BC1,13,0.5,35.1,73,20061130までtrap_area=0.58m2
IC-BC1,14,0.5,25.6,74.2,20061130までtrap_area=0.58m2
IC-BC1,15,0.5,15,73,20061130までtrap_area=0.58m2
IC-BC1,16,0.5,70.2,54.1,NA
IC-BC1,17,0.5,82.5,57.6,NA
IC-BC1,18,0.5,41.4,24.1,NA
IC-BC1,19,0.5,74.8,87.4,NA
IC-BC1,20,0.5,4.9,78.9,NA
IC-BC1,21,0.5,56.5,85.7,20061130までtrap_area=0.58m2
IC-BC1,22,0.5,43.9,81.7,20061130までtrap_area=0.58m2
IC-BC1,23,0.5,33.6,86.8,20061130までtrap_area=0.58m2
IC-BC1,24,0.5,25.7,83.3,20061130までtrap_area=0.58m2
IC-BC1,25,0.5,13.3,84.7,20061130までtrap_area=0.58m2
KG-EC1,1,0.5,0,0,NA
KG-EC1,2,0.5,0,20,NA
KG-EC1,3,0.5,0,40,NA
KG-EC1,4,0.5,0,60,NA
KG-EC1,5,0.5,0,80,NA
KG-EC1,6,0.5,20,80,NA
KG-EC1,7,0.5,20,60,NA
KG-EC1,8,0.5,20,40,NA
KG-EC1,9,0.5,20,20,NA
KG-EC1,10,0.5,20,0,NA
KG-EC1,11,0.5,40,0,NA
KG-EC1,12,0.5,40,20,NA
KG-EC1,13,0.5,40,40,NA
KG-EC1,14,0.5,40,60,NA
KG-EC1,15,0.5,40,80,NA
KG-EC1,16,0.5,60,80,NA
KG-EC1,17,0.5,60,60,NA
KG-EC1,18,0.5,60,40,NA
KG-EC1,19,0.5,60,20,NA
KG-EC1,20,0.5,60,0,NA
KG-EC1,21,0.5,80,0,NA
KG-EC1,22,0.5,80,20,NA
KG-EC1,23,0.5,80,40,NA
KG-EC1,24,0.5,80,60,NA
KG-EC1,25,0.5,80,80,NA
KM-DB1,N_02_03,0.5,10,20,NA
KM-DB1,N_02_06,0.5,10,50,NA
KM-DB1,N_02_08,0.5,10,70,NA
KM-DB1,N_02_11,0.5,10,100,NA
KM-DB1,N_03_01,0.5,20,0,NA
KM-DB1,N_03_05,0.5,20,40,NA
KM-DB1,N_04_04,0.5,30,30,NA
KM-DB1,N_04_07,0.5,30,60,NA
KM-DB1,N_04_09,0.5,30,80,NA
KM-DB1,N_04_11,0.5,30,100,NA
KM-DB1,N_05_03,0.5,40,20,NA
KM-DB1,N_06_01,0.5,50,0,NA
KM-DB1,N_06_07,0.5,50,60,NA
KM-DB1,N_06_11,0.5,50,100,NA
KM-DB1,N_07_03,0.5,60,20,NA
KM-DB1,N_07_05,0.5,60,40,NA
KM-DB1,N_07_09,0.5,60,80,NA
KM-DB1,N_08_01,0.5,70,0,NA
KM-DB1,N_08_07,0.5,70,60,NA
KM-DB1,N_08_10,0.5,70,90,NA
KM-DB1,N_09_03,0.5,80,20,NA
KM-DB1,N_10_01,0.5,90,0,NA
KM-DB1,N_10_05,0.5,90,40,NA
KM-DB1,N_10_07,0.5,90,60,NA
KM-DB1,N_10_10,0.5,90,90,NA
KS-DB1,1,0.5,5,5,NA
KS-DB1,2,0.5,5,15,NA
KS-DB1,3,0.5,5,25,NA
KS-DB1,4,0.5,5,35,NA
KS-DB1,5,0.5,5,45,NA
KS-DB1,6,0.5,15,5,NA
KS-DB1,7,0.5,15,15,NA
KS-DB1,8,0.5,15,25,NA
KS-DB1,9,0.5,15,35,NA
KS-DB1,10,0.5,15,45,NA
KS-DB1,11,0.5,25,5,NA
KS-DB1,12,0.5,25,15,NA
KS-DB1,13,0.5,25,25,NA
KS-DB1,14,0.5,25,35,NA
KS-DB1,15,0.5,25,45,NA
KS-DB1,16,0.5,35,5,NA
KS-DB1,17,0.5,35,15,NA
KS-DB1,18,0.5,35,25,NA
KS-DB1,19,0.5,35,35,NA
KS-DB1,20,0.5,35,45,NA
KS-DB1,21,0.5,45,5,NA
KS-DB1,22,0.5,45,15,NA
KS-DB1,23,0.5,45,25,NA
KS-DB1,24,0.5,45,35,NA
KS-DB1,25,0.5,45,45,NA
KY-DB1,E201,0.5,10,10,NA
KY-DB1,E202,0.5,10,30,NA
KY-DB1,E203,0.5,10,50,NA
KY-DB1,E204,0.5,10,70,NA
KY-DB1,E205,0.5,10,90,NA
KY-DB1,E206,0.5,30,90,NA
KY-DB1,E207,0.5,30,70,NA
KY-DB1,E208,0.5,30,50,NA
KY-DB1,E209,0.5,30,30,NA
KY-DB1,E210,0.5,30,10,NA
KY-DB1,E211,0.5,50,10,NA
KY-DB1,E212,0.5,50,30,NA
KY-DB1,E213,0.5,50,50,NA
KY-DB1,E214,0.5,50,70,NA
KY-DB1,E215,0.5,50,90,NA
KY-DB1,E216,0.5,70,90,NA
KY-DB1,E217,0.5,70,70,NA
KY-DB1,E218,0.5,70,50,NA
KY-DB1,E219,0.5,70,30,最初の期間は設置なし
KY-DB1,E220,0.5,70,10,最初の期間は設置なし
KY-DB1,E221,0.5,90,10,最初の期間は設置なし
KY-DB1,E222,0.5,90,30,最初の期間は設置なし
KY-DB1,E223,0.5,90,50,最初の期間は設置なし
KY-DB1,E224,0.5,90,70,NA
KY-DB1,E225,0.5,90,90,NA
OG-DB1,65,0.5,10,90,2007年4-12月は未測定
OG-DB1,67,0.5,30,90,2007年4-12月は未測定
OG-DB1,69,0.5,50,90,2007年4-12月は未測定
OG-DB1,71,0.5,70,90,2007年4-12月は未測定
OG-DB1,73,0.5,90,90,2007年4-12月は未測定
OG-DB1,107,0.5,10,70,2007年4-12月は未測定
OG-DB1,109,0.5,30,70,2007年4-12月は未測定
OG-DB1,111,0.5,50,70,2007年4-12月は未測定
OG-DB1,113,0.5,70,70,2007年4-12月は未測定
OG-DB1,115,0.5,90,70,2007年4-12月は未測定
OG-DB1,149,0.5,10,50,2007年4-12月は未測定
OG-DB1,151,0.5,30,50,2007年4-12月は未測定
OG-DB1,153,0.5,50,50,2007年4-12月は未測定
OG-DB1,155,0.5,70,50,2007年4-12月は未測定
OG-DB1,157,0.5,90,50,2007年4-12月は未測定
OG-DB1,191,0.5,10,30,2007年4-12月は未測定
OG-DB1,193,0.5,30,30,2007年4-12月は未測定
OG-DB1,195,0.5,50,30,2007年4-12月は未測定
OG-DB1,197,0.5,70,30,2007年4-12月は未測定
OG-DB1,199,0.5,90,30,2007年4-12月は未測定
OG-DB1,233,0.5,10,10,2007年4-12月は未測定
OG-DB1,235,0.5,30,10,2007年4-12月は未測定
OG-DB1,237,0.5,50,10,2007年4-12月は未測定
OG-DB1,239,0.5,70,10,2007年4-12月は未測定
OG-DB1,241,0.5,90,10,2007年4-12月は未測定
OT-EC1,1,0.5,10,10,NA
OT-EC1,2,0.5,30,10,NA
OT-EC1,3,0.5,50,10,NA
OT-EC1,4,0.5,70,10,NA
OT-EC1,5,0.5,90,10,NA
OT-EC1,6,0.5,90,30,NA
OT-EC1,7,0.5,70,30,NA
OT-EC1,8,0.5,50,30,NA
OT-EC1,9,0.5,30,30,NA
OT-EC1,10,0.5,10,30,NA
OT-EC1,11,0.5,10,50,NA
OT-EC1,12,0.5,30,50,NA
OT-EC1,13,0.5,50,50,NA
OT-EC1,14,0.5,70,50,NA
OT-EC1,15,0.5,90,50,NA
OT-EC1,16,0.5,90,70,NA
OT-EC1,17,0.5,70,70,NA
OT-EC1,18,0.5,50,70,NA
OT-EC1,19,0.5,30,70,NA
OT-EC1,20,0.5,10,70,NA
OY-DB1,1,0.5,10,10,NA
OY-DB1,2,0.5,10,30,NA
OY-DB1,3,0.5,10,50,NA
OY-DB1,4,0.5,20,20,NA
OY-DB1,5,0.5,20,40,NA
OY-DB1,6,0.5,30,10,NA
OY-DB1,7,0.5,30,30,NA
OY-DB1,8,0.5,30,50,NA
OY-DB1,9,0.5,40,20,NA
OY-DB1,10,0.5,40,40,NA
OY-DB1,11,0.5,50,10,NA
OY-DB1,12,0.5,50,30,NA
OY-DB1,13,0.5,50,50,NA
OY-DB1,14,0.5,60,20,NA
OY-DB1,15,0.5,60,40,NA
OY-DB1,16,0.5,70,10,NA
OY-DB1,17,0.5,70,30,NA
OY-DB1,18,0.5,70,50,NA
OY-DB1,19,0.5,80,20,NA
OY-DB1,20,0.5,80,40,NA
OY-DB1,21,0.5,80,60,NA
OY-DB1,22,0.5,60,60,NA
OY-DB1,23,0.5,40,60,NA
OY-DB1,24,0.5,20,60,NA
OY-DB1,25,0.5,0,60,NA
OS-EC1,1,0.5,10,10,NA
OS-EC1,2,0.5,30,10,NA
OS-EC1,3,0.5,50,10,NA
OS-EC1,4,0.5,70,10,NA
OS-EC1,5,0.5,90,10,NA
OS-EC1,6,0.5,10,30,NA
OS-EC1,7,0.5,30,30,NA
OS-EC1,8,0.5,50,30,NA
OS-EC1,9,0.5,70,30,NA
OS-EC1,10,0.5,90,30,NA
OS-EC1,11,0.5,10,50,NA
OS-EC1,12,0.5,30,50,NA
OS-EC1,13,0.5,50,50,NA
OS-EC1,14,0.5,70,50,NA
OS-EC1,15,0.5,90,50,NA
OS-EC1,16,0.5,10,70,NA
OS-EC1,17,0.5,30,70,NA
OS-EC1,18,0.5,50,70,NA
OS-EC1,19,0.5,70,70,NA
OS-EC1,20,0.5,90,70,NA
OS-EC1,21,0.5,10,90,NA
OS-EC1,22,0.5,30,90,NA
OS-EC1,23,0.5,50,90,NA
OS-EC1,24,0.5,70,90,NA
OS-EC1,25,0.5,90,90,NA
TM-DB1,1,0.5,10,10,NA
TM-DB1,2,0.5,10,30,NA
TM-DB1,3,0.5,10,50,NA
TM-DB1,4,0.5,10,70,NA
TM-DB1,5,0.5,10,90,NA
TM-DB1,6,0.5,30,90,NA
TM-DB1,7,0.5,30,70,NA
TM-DB1,8,0.5,30,50,NA
TM-DB1,9,0.5,30,30,NA
TM-DB1,10,0.5,30,10,NA
TM-DB1,11,0.5,50,10,NA
TM-DB1,12,0.5,50,30,NA
TM-DB1,13,0.5,50,50,NA
TM-DB1,14,0.5,50,70,NA
TM-DB1,15,0.5,50,90,NA
TM-DB1,16,0.5,70,90,NA
TM-DB1,17,0.5,70,70,NA
TM-DB1,18,0.5,70,50,NA
TM-DB1,19,0.5,70,30,NA
TM-DB1,20,0.5,70,10,NA
TM-DB1,21,0.5,90,10,NA
TM-DB1,22,0.5,90,30,NA
TM-DB1,23,0.5,90,50,NA
TM-DB1,24,0.5,90,70,NA
TM-DB1,25,0.5,90,90,NA
TN-EB1,1,0.5,6,11,NA
TN-EB1,2,0.5,11,28,NA
TN-EB1,3,0.5,6,51,NA
TN-EB1,4,0.5,14,68,NA
TN-EB1,5,0.5,17,91,NA
TN-EB1,6,0.5,27,12,NA
TN-EB1,7,0.5,29,29,NA
TN-EB1,8,0.5,31,50,NA
TN-EB1,9,0.5,27,67,NA
TN-EB1,10,0.5,29,88,NA
TN-EB1,11,0.5,54,6,NA
TN-EB1,12,0.5,50,33,NA
TN-EB1,13,0.5,51,53,NA
TN-EB1,14,0.5,54,68,NA
TN-EB1,15,0.5,50,82,NA
TN-EB1,16,0.5,70,12,NA
TN-EB1,17,0.5,77,29,NA
TN-EB1,18,0.5,68,52,NA
TN-EB1,19,0.5,71,69,NA
TN-EB1,20,0.5,70,92,NA
TN-EB1,21,0.5,85,14,NA
TN-EB1,22,0.5,84,27,NA
TN-EB1,23,0.5,81,45,NA
TN-EB1,24,0.5,86,66,NA
TN-EB1,25,0.5,97,97,NA
UR-BC1,0-A,0.5,47.7,9.8,NA
UR-BC1,0-B,0.5,39,10.5,NA
UR-BC1,0-C,0.5,28.6,10.1,NA
UR-BC1,0-D,0.5,21,7.9,NA
UR-BC1,0-E,0.5,11.7,7.2,NA
UR-BC1,1-A,0.5,47,19.5,NA
UR-BC1,1-B,0.5,37.4,21.2,NA
UR-BC1,1-C,0.5,30.3,20.4,NA
UR-BC1,1-D,0.5,23.5,24.5,NA
UR-BC1,1-E,0.5,12.5,26,NA
UR-BC1,3-A,0.5,46,37.4,NA
UR-BC1,3-B,0.5,37.5,37.8,NA
UR-BC1,3-C,0.5,29.3,37.6,NA
UR-BC1,3-D,0.5,20.9,37.9,NA
UR-BC1,3-E,0.5,11.6,39,NA
UR-BC1,6-A,0.5,48.9,66.1,NA
UR-BC1,6-B,0.5,37.2,68.7,NA
UR-BC1,6-C,0.5,28.6,68.1,NA
UR-BC1,6-D,0.5,20.2,68.7,NA
UR-BC1,6-E,0.5,12.4,70.7,NA
UR-BC1,9-A,0.5,49.5,94.8,NA
UR-BC1,9-B,0.5,40.3,97.5,NA
UR-BC1,9-C,0.5,28.1,98,NA
UR-BC1,9-D,0.5,20.8,101.6,NA
UR-BC1,9-E,0.5,17.3,97.6,NA
WK-EC1,J-3,0.5,30,30,NA
WK-EC1,J-4,0.5,40,30,NA
WK-EC1,J-5,0.5,50,30,NA
WK-EC1,J-6,0.5,60,30,NA
WK-EC1,J-7,0.5,70,30,NA
WK-EC1,K-5,0.5,30,40,NA
WK-EC1,K-7,0.5,40,40,NA
WK-EC1,K-9,0.5,50,40,NA
WK-EC1,K-11,0.5,60,40,NA
WK-EC1,K-13,0.5,70,40,NA
WK-EC1,L-5,0.5,30,50,NA
WK-EC1,L-7,0.5,40,50,NA
WK-EC1,L-9,0.5,50,50,NA
WK-EC1,L-11,0.5,60,50,NA
WK-EC1,L-13,0.5,70,50,NA
WK-EC1,M-5,0.5,30,60,NA
WK-EC1,M-7,0.5,40,60,NA
WK-EC1,M-9,0.5,50,60,NA
WK-EC1,M-11,0.5,60,60,NA
WK-EC1,M-13,0.5,70,60,NA
WK-EC1,N-5,0.5,30,70,NA
WK-EC1,N-7,0.5,40,70,NA
WK-EC1,N-9,0.5,50,70,NA
WK-EC1,N-11,0.5,60,70,NA
WK-EC1,N-13,0.5,70,70,NA
YN-EB1,1,0.5,10,10,NA
YN-EB1,2,0.5,30,10,NA
YN-EB1,3,0.5,50,10,NA
YN-EB1,4,0.5,70,10,NA
YN-EB1,5,0.5,90,10,NA
YN-EB1,6,0.5,10,30,NA
YN-EB1,7,0.5,30,30,NA
YN-EB1,8,0.5,50,30,NA
YN-EB1,9,0.5,70,30,NA
YN-EB1,10,0.5,90,30,NA
YN-EB1,11,0.5,10,50,NA
YN-EB1,12,0.5,30,50,NA
YN-EB1,13,0.5,50,50,NA
YN-EB1,14,0.5,70,50,NA
YN-EB1,15,0.5,90,50,NA
YN-EB1,16,0.5,10,70,NA
YN-EB1,17,0.5,30,70,NA
