name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,fruit_type,remarks
イチョウ,,Ginkgo biloba L.,EXACT,accepted,Ginkgo biloba L.,Ginkgo biloba,Ginkgo,Ginkgoaceae,Ginkgoales,イチョウ,イチョウ科,イチョウ目,,,1,,4,1,その他,not found in GreenList; found in YList; use gbif name
メタセコイア,,Metasequoia glyptostroboides Hu et W.C.Cheng,EXACT,accepted,Metasequoia glyptostroboides Hu & Cheng,Metasequoia glyptostroboides,Metasequoia,Cupressaceae,Pinales,メタセコイア,ヒノキ科,マツ目,,,1,,1,1,球果,not found in GreenList; found in YList; use gbif name
ヒマラヤスギ,,Cedrus deodara (Roxb.) G.Don,EXACT,accepted,Cedrus deodara (Roxb. ex Lambert) G.Don,Cedrus deodara,Cedrus,Pinaceae,Pinales,ヒマラヤスギ,マツ科,マツ目,,,1,,1,1,球果,not found in GreenList; found in YList; use gbif name
スラッシュマツ,,Pinus elliottii Engelm.,EXACT,accepted,Pinus elliottii Engelm.,Pinus elliottii,Pinus,Pinaceae,Pinales,スラッシュマツ,マツ科,マツ目,,,1,,1,1,球果,not found in GreenList; not found in YList
リュウキュウマツ,,Pinus luchuensis Mayr,EXACT,accepted,Pinus luchuensis Mayr,Pinus luchuensis,Pinus,Pinaceae,Pinales,リュウキュウマツ,マツ科,マツ目,1,1,1,1,1,1,球果,use gbif name
マツ属,,Pinus sp.,HIGHERRANK,accepted,Pinus L.,Pinus sp.,Pinus,Pinaceae,Pinales,マツ属,マツ科,マツ目,,,1,,1,1,球果,not found in GreenList; not found in YList
クロマツ,,Pinus thunbergii Parl.,EXACT,accepted,Pinus thunbergii Parl.,Pinus thunbergii,Pinus,Pinaceae,Pinales,クロマツ,マツ科,マツ目,,,1,,1,1,球果,use gbif name
コメツガ＋トウヒ,,Tsuga diversifolia/Picea jezoensis var. hondoensis,,,,Tsuga diversifolia/Picea jezoensis var. hondoensis,Tsuga/Picea,Pinaceae,Pinales,コメツガ＋トウヒ,マツ科,マツ目,,,1,,1,1,球果,not found in GreenList; not found in YList
イヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. harringtonia,EXACT,accepted,Cephalotaxus harringtonia var. harringtonia,Cephalotaxus harringtonia var. harringtonia,Cephalotaxus,Cephalotaxaceae,Pinales,イヌガヤ,イヌガヤ科,マツ目,1,1,1,1,1,2,核果状,use gbif name
ハイイヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. nana (Nakai) Rehder,EXACT,synonym,Cephalotaxus harringtonii var. nana (Nakai) Rehd.,Cephalotaxus harringtonii var. nana,Cephalotaxus,Cephalotaxaceae,Pinales,ハイイヌガヤ,イヌガヤ科,マツ目,1,1,1,1,1,2,核果状,use gbif name; checked  in WCSP
ヒノキ,,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,EXACT,accepted,Chamaecyparis obtusa (Siebold & Zucc.) Endl.,Chamaecyparis obtusa,Chamaecyparis,Cupressaceae,Pinales,ヒノキ,ヒノキ科,マツ目,1,1,1,1,1,2,球果,use gbif name
スギ,,Cryptomeria japonica (L.f.) D.Don,EXACT,accepted,Cryptomeria japonica D.Don,Cryptomeria japonica,Cryptomeria,Cupressaceae,Pinales,スギ,ヒノキ科,マツ目,1,1,1,1,1,2,球果,use gbif name
モミ,,Abies firma Siebold et Zucc.,EXACT,accepted,Abies firma Siebold & Zucc.,Abies firma,Abies,Pinaceae,Pinales,モミ,マツ科,マツ目,2,1,1,2,1,2,球果,use gbif name
ウラジロモミ,,Abies homolepis Siebold et Zucc.,EXACT,accepted,Abies homolepis Siebold & Zucc.,Abies homolepis,Abies,Pinaceae,Pinales,ウラジロモミ,マツ科,マツ目,2,1,1,2,1,2,球果,use gbif name
