#,このファイルは毎木データのエラーチェックに使う各調査区のmesh_xcord/mesh_ycordの組み合わせのリストです。,
plotid,mesh_xcord,mesh_ycord
AI-BC1,0,0
AI-BC1,0,10
AI-BC1,0,20
AI-BC1,0,30
AI-BC1,0,40
AI-BC1,0,50
AI-BC1,0,60
AI-BC1,0,70
AI-BC1,0,80
AI-BC1,0,90
AI-BC1,10,0
AI-BC1,10,10
AI-BC1,10,20
AI-BC1,10,30
AI-BC1,10,40
AI-BC1,10,50
AI-BC1,10,60
AI-BC1,10,70
AI-BC1,10,80
AI-BC1,10,90
AI-BC1,20,0
AI-BC1,20,10
AI-BC1,20,20
AI-BC1,20,30
AI-BC1,20,40
AI-BC1,20,50
AI-BC1,20,60
AI-BC1,20,70
AI-BC1,20,80
AI-BC1,20,90
AI-BC1,30,0
AI-BC1,30,10
AI-BC1,30,20
AI-BC1,30,30
AI-BC1,30,40
AI-BC1,30,50
AI-BC1,30,60
AI-BC1,30,70
AI-BC1,30,80
AI-BC1,30,90
AI-BC1,40,0
AI-BC1,40,10
AI-BC1,40,20
AI-BC1,40,30
AI-BC1,40,40
AI-BC1,40,50
AI-BC1,40,60
AI-BC1,40,70
AI-BC1,40,80
AI-BC1,40,90
AI-BC1,50,0
AI-BC1,50,10
AI-BC1,50,20
AI-BC1,50,30
AI-BC1,50,40
AI-BC1,50,50
AI-BC1,50,60
AI-BC1,50,70
AI-BC1,50,80
AI-BC1,50,90
AI-BC1,60,0
AI-BC1,60,10
AI-BC1,60,20
AI-BC1,60,30
AI-BC1,60,40
AI-BC1,60,50
AI-BC1,60,60
AI-BC1,60,70
AI-BC1,60,80
AI-BC1,60,90
AI-BC1,70,0
AI-BC1,70,10
AI-BC1,70,20
AI-BC1,70,30
AI-BC1,70,40
AI-BC1,70,50
AI-BC1,70,60
AI-BC1,70,70
AI-BC1,70,80
AI-BC1,70,90
AI-BC1,80,0
AI-BC1,80,10
AI-BC1,80,20
AI-BC1,80,30
AI-BC1,80,40
AI-BC1,80,50
AI-BC1,80,60
AI-BC1,80,70
AI-BC1,80,80
AI-BC1,80,90
AI-BC1,90,0
AI-BC1,90,10
AI-BC1,90,20
AI-BC1,90,30
AI-BC1,90,40
AI-BC1,90,50
AI-BC1,90,60
AI-BC1,90,70
AI-BC1,90,80
AI-BC1,90,90
AM-EB1,0,0
AM-EB1,0,10
AM-EB1,0,20
AM-EB1,0,30
AM-EB1,0,40
AM-EB1,0,50
AM-EB1,0,60
AM-EB1,0,70
AM-EB1,0,80
AM-EB1,0,90
AM-EB1,10,0
AM-EB1,10,10
AM-EB1,10,20
AM-EB1,10,30
AM-EB1,10,40
AM-EB1,10,50
AM-EB1,10,60
AM-EB1,10,70
AM-EB1,10,80
AM-EB1,10,90
AM-EB1,20,0
AM-EB1,20,10
AM-EB1,20,20
AM-EB1,20,30
AM-EB1,20,40
AM-EB1,20,50
AM-EB1,20,60
AM-EB1,20,70
AM-EB1,20,80
AM-EB1,20,90
AM-EB1,30,0
AM-EB1,30,10
AM-EB1,30,20
AM-EB1,30,30
AM-EB1,30,40
AM-EB1,30,50
AM-EB1,30,60
AM-EB1,30,70
AM-EB1,30,80
AM-EB1,30,90
AM-EB1,40,0
AM-EB1,40,10
AM-EB1,40,20
AM-EB1,40,30
AM-EB1,40,40
AM-EB1,40,50
AM-EB1,40,60
AM-EB1,40,70
AM-EB1,40,80
AM-EB1,40,90
AM-EB1,50,0
AM-EB1,50,10
AM-EB1,50,20
AM-EB1,50,30
AM-EB1,50,40
AM-EB1,50,50
AM-EB1,50,60
AM-EB1,50,70
AM-EB1,50,80
AM-EB1,50,90
AM-EB1,60,0
AM-EB1,60,10
AM-EB1,60,20
AM-EB1,60,30
AM-EB1,60,40
AM-EB1,60,50
AM-EB1,60,60
AM-EB1,60,70
AM-EB1,60,80
AM-EB1,60,90
AM-EB1,70,0
AM-EB1,70,10
AM-EB1,70,20
AM-EB1,70,30
AM-EB1,70,40
AM-EB1,70,50
AM-EB1,70,60
AM-EB1,70,70
AM-EB1,70,80
AM-EB1,70,90
AM-EB1,80,0
AM-EB1,80,10
AM-EB1,80,20
AM-EB1,80,30
AM-EB1,80,40
AM-EB1,80,50
AM-EB1,80,60
AM-EB1,80,70
AM-EB1,80,80
AM-EB1,80,90
AM-EB1,90,0
AM-EB1,90,10
AM-EB1,90,20
AM-EB1,90,30
AM-EB1,90,40
AM-EB1,90,50
AM-EB1,90,60
AM-EB1,90,70
AM-EB1,90,80
AM-EB1,90,90
AO-BC1,0,0
AO-BC1,0,10
AO-BC1,0,20
AO-BC1,0,30
AO-BC1,0,40
AO-BC1,0,50
AO-BC1,0,60
AO-BC1,0,70
AO-BC1,0,80
AO-BC1,0,90
AO-BC1,10,0
AO-BC1,10,10
AO-BC1,10,20
AO-BC1,10,30
AO-BC1,10,40
AO-BC1,10,50
AO-BC1,10,60
AO-BC1,10,70
AO-BC1,10,80
AO-BC1,10,90
AO-BC1,20,0
AO-BC1,20,10
AO-BC1,20,20
AO-BC1,20,30
AO-BC1,20,40
AO-BC1,20,50
AO-BC1,20,60
AO-BC1,20,70
AO-BC1,20,80
AO-BC1,20,90
AO-BC1,30,0
AO-BC1,30,10
AO-BC1,30,20
AO-BC1,30,30
AO-BC1,30,40
AO-BC1,30,50
AO-BC1,30,60
AO-BC1,30,70
AO-BC1,30,80
AO-BC1,30,90
AO-BC1,40,0
AO-BC1,40,10
AO-BC1,40,20
AO-BC1,40,30
AO-BC1,40,40
AO-BC1,40,50
AO-BC1,40,60
AO-BC1,40,70
AO-BC1,40,80
AO-BC1,40,90
AO-BC1,50,0
AO-BC1,50,10
AO-BC1,50,20
AO-BC1,50,30
AO-BC1,50,40
AO-BC1,50,50
AO-BC1,50,60
AO-BC1,50,70
AO-BC1,50,80
AO-BC1,50,90
AO-BC1,60,0
AO-BC1,60,10
AO-BC1,60,20
AO-BC1,60,30
AO-BC1,60,40
AO-BC1,60,50
AO-BC1,60,60
AO-BC1,60,70
AO-BC1,60,80
AO-BC1,60,90
AO-BC1,70,0
AO-BC1,70,10
AO-BC1,70,20
AO-BC1,70,30
AO-BC1,70,40
AO-BC1,70,50
AO-BC1,70,60
AO-BC1,70,70
AO-BC1,70,80
AO-BC1,70,90
AO-BC1,80,0
AO-BC1,80,10
AO-BC1,80,20
AO-BC1,80,30
AO-BC1,80,40
AO-BC1,80,50
AO-BC1,80,60
AO-BC1,80,70
AO-BC1,80,80
AO-BC1,80,90
AO-BC1,90,0
AO-BC1,90,10
AO-BC1,90,20
AO-BC1,90,30
AO-BC1,90,40
AO-BC1,90,50
AO-BC1,90,60
AO-BC1,90,70
AO-BC1,90,80
AO-BC1,90,90
AS-DB1,0,0
AS-DB1,0,10
AS-DB1,0,20
AS-DB1,0,30
AS-DB1,0,40
AS-DB1,0,50
AS-DB1,0,60
AS-DB1,0,70
AS-DB1,0,80
AS-DB1,0,90
AS-DB1,10,0
AS-DB1,10,10
AS-DB1,10,20
AS-DB1,10,30
AS-DB1,10,40
AS-DB1,10,50
AS-DB1,10,60
AS-DB1,10,70
AS-DB1,10,80
AS-DB1,10,90
AS-DB1,20,0
AS-DB1,20,10
AS-DB1,20,20
AS-DB1,20,30
AS-DB1,20,40
AS-DB1,20,50
AS-DB1,20,60
AS-DB1,20,70
AS-DB1,20,80
AS-DB1,20,90
AS-DB1,30,0
AS-DB1,30,10
AS-DB1,30,20
AS-DB1,30,30
AS-DB1,30,40
AS-DB1,30,50
AS-DB1,30,60
AS-DB1,30,70
AS-DB1,30,80
AS-DB1,30,90
AS-DB1,40,0
AS-DB1,40,10
AS-DB1,40,20
AS-DB1,40,30
AS-DB1,40,40
AS-DB1,40,50
AS-DB1,40,60
