#,Tree Species List for the Monitoring Site 1000 Project,,,,,,,,,,,,,,,,,,,
#,name_jp: Japanese name used in moni1000 sites,,,,,,,,,,,,,,,,,,,
#,name_jp_std: Japanese name according to GreenList/YList,,,,,,,,,,,,,,,,,,,
#,name_greenlist: scientific name according to GreenList/YList,,,,,,,,,,,,,,,,,,,
#,match_type: match type in GBIF search,,,,,,,,,,,,,,,,,,,
#,status: taxonomic status of the scientific name query in GBIF,,,,,,,,,,,,,,,,,,,
#,name_gbif_accepted: accepted name in GBIF,,,,,,,,,,,,,,,,,,,
#,"species: species name includes the ranks of subspecies, variety and forma",,,,,,,,,,,,,,,,,,,
#,genus: genus name,,,,,,,,,,,,,,,,,,,
#,family: family name,,,,,,,,,,,,,,,,,,,
#,order: order name,,,,,,,,,,,,,,,,,,,
#,species_jp: species name in Japanese (standard name),,,,,,,,,,,,,,,,,,,
#,family_jp: family name in Japanese,,,,,,,,,,,,,,,,,,,
#,order_jp: order name in Japanese,,,,,,,,,,,,,,,,,,,
#,"categ: 1, Conifer excluding Abies and Tsuga; 2, Abies; 3, Tsuga; 4, Broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ2: 1, Conifer, 4: Broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ3: 1, formal japanese species name; 0, synonym in japanese",,,,,,,,,,,,,,,,,,,
#,"categ4: 1, Conifer; 2, Abies; 3, Tsuga; 4, Deciduous broadleaf; 5, Evergreen broadleaf. (use for a tree biomass estimation with allometric equations)",,,,,,,,,,,,,,,,,,,
#,"categ5: 1, Conifer; 4, Deciduous broadleaf; 5, Evergreen broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ6: 1, Sub-boreal conifer; 2, Temperate conifer; 4, Deciduous broadleaf; 5, Evergreen broadleaf",,,,,,,,,,,,,,,,,,,
#,"categ7: 1,  Pteridophyte; 2, Gymnosperm; 3, Angiosperm",,,,,,,,,,,,,,,,,,,
#,シダ植物は常緑広葉樹と同じカテゴリとする,,,,,,,,,,,,,,,,,,,
#,アカギは半常緑性だが常緑とする,,,,,,,,,,,,,,,,,,,
#,マルハチ（木性シダ）は常緑広葉樹とする,,,,,,,,,,,,,,,,,,,
#,20130209　アオツヅラフジ（佐田山）、リンゴツバキ、ヒメヒサカキ（屋久島スギ林）を新規に登録。（佐伯）,,,,,,,,,,,,,,,,,,,
#,20130709 カキバカンコノキ（与那サイト）を新規登録（日高）,,,,,,,,,,,,,,,,,,,
#,20170213 タニウツギ（カヌマ沢）、チョウセンゴヨウ（苫小牧アカエゾマツ）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180203 ヒメモチ（大佐渡）オオツリバナ（足寄）、オニツルウメモドキ（足寄）アマクサギ（与那）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180323 ショウロウクサギ（与那）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180420 ミツバアケビ（筑波山）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20180611 ヘゴ、オガサワラアオグス、パパイヤ（小笠原石門）を新規登録（日野）,,,,,,,,,,,,,,,,,,,
#,20190913 最新のAPG・PPGで分類が変更になった種も多いため大幅改訂（甲山）,,,,,,,,,,,,,,,,,,,
#,GreenListで和名から学名を検索（GreenListにない和名はYList／旧リストで検索・照合） >>> GreenListの学名をGBIFで検索し、synonymとなっている種についてはWCSPなど他データベースで都度確認,,,,,,,,,,,,,,,,,,,
#,列名を適宜変更し、旧リストの必要のない列は削除: sp_roman; old_sp; sp_ylist; sp_satake_print; sp_satake; subsp; sp; spjp; order1; order2; order3; familyAPGjpn; familyAPGcode; genusKew; familyAPG; familyKew,,,,,,,,,,,,,,,,,,,
#,20190913 ヤマトアオダモ（芦生モンドリ谷）を新規登録（甲山）,,,,,,,,,,,,,,,,,,,
name_jp,name_jp_std,name_greenlist,match_type,status,name_gbif_accepted,species,genus,family,order,species_jp,family_jp,order_jp,categ,categ2,categ3,categ4,categ5,categ6,categ7,remarks
ヘゴ,,Cyathea spinulosa Wall. ex Hook.,EXACT,synonym,Alsophila spinulosa (Hook.) R.M.Tryon,Alsophila spinulosa,Alsophila,Cyatheaceae,Cyatheales,ヘゴ,ヘゴ科,ヘゴ目,4,4,1,5,5,5,1,use gbif name; checked  in PPG
マルハチ,,Cyathea mertensiana (Kunze) Copel.,EXACT,synonym,Sphaeropteris mertensiana (Kunze) R.M.Tryon,Sphaeropteris mertensiana,Sphaeropteris,Cyatheaceae,Cyatheales,マルハチ,ヘゴ科,ヘゴ目,4,4,1,5,5,5,1,use gbif name; checked  in PPG
イヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. harringtonia,EXACT,accepted,Cephalotaxus harringtonia var. harringtonia,Cephalotaxus harringtonia var. harringtonia,Cephalotaxus,Cephalotaxaceae,Pinales,イヌガヤ,イヌガヤ科,マツ目,1,1,1,1,1,2,2,use gbif name
ハイイヌガヤ,,Cephalotaxus harringtonia (Knight ex Forbes) K.Koch var. nana (Nakai) Rehder,EXACT,synonym,Cephalotaxus harringtonii var. nana (Nakai) Rehd.,Cephalotaxus harringtonii var. nana,Cephalotaxus,Cephalotaxaceae,Pinales,ハイイヌガヤ,イヌガヤ科,マツ目,1,1,1,1,1,2,2,use gbif name; checked  in WCSP
ヒノキ,,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,EXACT,accepted,Chamaecyparis obtusa (Siebold & Zucc.) Endl.,Chamaecyparis obtusa,Chamaecyparis,Cupressaceae,Pinales,ヒノキ,ヒノキ科,マツ目,1,1,1,1,1,2,2,use gbif name
サワラ,,Chamaecyparis pisifera (Siebold et Zucc.) Endl.,EXACT,accepted,Chamaecyparis pisifera (Siebold & Zucc.) Endl.,Chamaecyparis pisifera,Chamaecyparis,Cupressaceae,Pinales,サワラ,ヒノキ科,マツ目,1,1,1,1,1,2,2,use gbif name
スギ,,Cryptomeria japonica (L.f.) D.Don,EXACT,accepted,Cryptomeria japonica D.Don,Cryptomeria japonica,Cryptomeria,Cupressaceae,Pinales,スギ,ヒノキ科,マツ目,1,1,1,1,1,2,2,use gbif name
ネズ,,Juniperus rigida Siebold et Zucc.,EXACT,accepted,Juniperus rigida Siebold & Zucc.,Juniperus rigida,Juniperus,Cupressaceae,Pinales,ネズ,ヒノキ科,マツ目,1,1,1,1,1,2,2,use gbif name
ネズミサシ,ネズ,Juniperus rigida Siebold et Zucc.,EXACT,accepted,Juniperus rigida Siebold & Zucc.,Juniperus rigida,Juniperus,Cupressaceae,Pinales,ネズ,ヒノキ科,マツ目,1,1,1,1,1,2,2,use gbif name
アスナロ,,Thujopsis dolabrata (L.f.) Siebold et Zucc.,EXACT,accepted,Thujopsis dolabrata Siebold & Zucc.,Thujopsis dolabrata,Thujopsis,Cupressaceae,Pinales,アスナロ,ヒノキ科,マツ目,1,1,1,1,1,2,2,use gbif name
ヒノキアスナロ,,Thujopsis dolabrata (L.f.) Siebold et Zucc. var. hondae Makino,EXACT,accepted,Thujopsis dolabrata var. hondae Makino,Thujopsis dolabrata var. hondae,Thujopsis,Cupressaceae,Pinales,ヒノキアスナロ,ヒノキ科,マツ目,1,1,1,1,1,2,2,use gbif name
ヒバ,ヒノキアスナロ,Thujopsis dolabrata (L.f.) Siebold et Zucc. var. hondae Makino,EXACT,accepted,Thujopsis dolabrata var. hondae Makino,Thujopsis dolabrata var. hondae,Thujopsis,Cupressaceae,Pinales,ヒノキアスナロ,ヒノキ科,マツ目,1,1,0,1,1,2,2,not found in GreenList; not found in YList
モミ,,Abies firma Siebold et Zucc.,EXACT,accepted,Abies firma Siebold & Zucc.,Abies firma,Abies,Pinaceae,Pinales,モミ,マツ科,マツ目,2,1,1,2,1,2,2,use gbif name
ウラジロモミ,,Abies homolepis Siebold et Zucc.,EXACT,accepted,Abies homolepis Siebold & Zucc.,Abies homolepis,Abies,Pinaceae,Pinales,ウラジロモミ,マツ科,マツ目,2,1,1,2,1,2,2,use gbif name
